,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-3, india_gdp, World_oil_prod]",0.027,0.098,-0.161,0.207,0.001,0.002,5448.0,1344.0,1.0
"lag_coefs[-3, india_gdp, Real_price_oil]",-0.009,0.034,-0.073,0.054,0.001,0.001,3625.0,1417.0,1.0
"lag_coefs[-3, india_gdp, glob_eco_act]",-0.011,0.101,-0.195,0.178,0.001,0.003,4753.0,1036.0,1.0
"lag_coefs[-3, india_gdp, usdinr]",0.013,0.089,-0.149,0.18,0.001,0.002,4556.0,1661.0,1.0
"lag_coefs[-3, india_gdp, wui]",-0.001,0.02,-0.039,0.037,0.0,0.0,2502.0,1414.0,1.0
"lag_coefs[-3, india_gdp, india_gdp]",-0.017,0.093,-0.194,0.151,0.001,0.002,4337.0,1728.0,1.0
"lag_coefs[-4, World_oil_prod, World_oil_prod]",0.008,0.082,-0.155,0.148,0.001,0.002,4687.0,1547.0,1.0
"lag_coefs[-4, World_oil_prod, Real_price_oil]",-0.014,0.013,-0.037,0.012,0.0,0.0,3113.0,1440.0,1.0
"lag_coefs[-4, World_oil_prod, glob_eco_act]",0.082,0.088,-0.082,0.238,0.001,0.001,3834.0,1663.0,1.0
"lag_coefs[-4, World_oil_prod, usdinr]",-0.049,0.067,-0.177,0.077,0.001,0.001,2755.0,1198.0,1.0
"lag_coefs[-4, World_oil_prod, wui]",0.0,0.007,-0.013,0.013,0.0,0.0,2952.0,1651.0,1.0
"lag_coefs[-4, World_oil_prod, india_gdp]",-0.012,0.061,-0.125,0.095,0.001,0.001,2640.0,1604.0,1.0
"lag_coefs[-4, Real_price_oil, World_oil_prod]",0.003,0.1,-0.194,0.177,0.002,0.003,4134.0,1512.0,1.0
"lag_coefs[-4, Real_price_oil, Real_price_oil]",0.041,0.08,-0.121,0.183,0.001,0.002,4129.0,1476.0,1.0
"lag_coefs[-4, Real_price_oil, glob_eco_act]",-0.003,0.101,-0.18,0.184,0.001,0.003,4800.0,1414.0,1.0
"lag_coefs[-4, Real_price_oil, usdinr]",0.003,0.094,-0.169,0.182,0.001,0.002,5834.0,1610.0,1.0
"lag_coefs[-4, Real_price_oil, wui]",0.035,0.06,-0.084,0.141,0.001,0.001,4688.0,1408.0,1.0
"lag_coefs[-4, Real_price_oil, india_gdp]",0.003,0.102,-0.182,0.202,0.002,0.003,4708.0,1170.0,1.0
"lag_coefs[-4, glob_eco_act, World_oil_prod]",-0.023,0.075,-0.159,0.126,0.001,0.002,4578.0,1558.0,1.0
"lag_coefs[-4, glob_eco_act, Real_price_oil]",-0.004,0.01,-0.023,0.014,0.0,0.0,3627.0,1628.0,1.0
"lag_coefs[-4, glob_eco_act, glob_eco_act]",-0.053,0.078,-0.194,0.093,0.001,0.001,4005.0,1609.0,1.0
"lag_coefs[-4, glob_eco_act, usdinr]",-0.002,0.058,-0.108,0.11,0.001,0.001,2671.0,1728.0,1.0
"lag_coefs[-4, glob_eco_act, wui]",-0.007,0.005,-0.016,0.003,0.0,0.0,2583.0,1548.0,1.0
"lag_coefs[-4, glob_eco_act, india_gdp]",-0.034,0.053,-0.123,0.07,0.001,0.001,2114.0,1776.0,1.0
