,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-2, Real_price_oil, usdyuan]",0.004,0.101,-0.186,0.186,0.001,0.003,5497.0,1443.0,1.0
"lag_coefs[-2, Real_price_oil, wui]",-0.025,0.062,-0.141,0.09,0.001,0.001,4252.0,1558.0,1.0
"lag_coefs[-2, Real_price_oil, china_gdp]",-0.001,0.093,-0.169,0.174,0.001,0.002,4120.0,1392.0,1.0
"lag_coefs[-2, Real_price_oil, india_gdp]",0.041,0.097,-0.138,0.222,0.001,0.002,4520.0,1356.0,1.0
"lag_coefs[-2, Real_price_oil, japan_gdp]",0.018,0.102,-0.175,0.21,0.001,0.003,4591.0,1266.0,1.0
"lag_coefs[-2, glob_eco_act, World_oil_prod]",0.004,0.078,-0.148,0.142,0.001,0.002,3531.0,1433.0,1.0
"lag_coefs[-2, glob_eco_act, Real_price_oil]",0.003,0.012,-0.02,0.023,0.0,0.0,2313.0,1441.0,1.0
"lag_coefs[-2, glob_eco_act, glob_eco_act]",0.073,0.091,-0.093,0.251,0.001,0.002,3994.0,1463.0,1.0
"lag_coefs[-2, glob_eco_act, usdinr]",0.054,0.066,-0.07,0.183,0.001,0.001,1906.0,1514.0,1.0
"lag_coefs[-2, glob_eco_act, usdyen]",-0.01,0.067,-0.133,0.12,0.001,0.001,2783.0,1543.0,1.0
"lag_coefs[-2, glob_eco_act, usdyuan]",0.074,0.092,-0.1,0.24,0.002,0.002,2799.0,1511.0,1.0
"lag_coefs[-2, glob_eco_act, wui]",-0.001,0.006,-0.012,0.01,0.0,0.0,3222.0,1548.0,1.0
"lag_coefs[-2, glob_eco_act, china_gdp]",-0.009,0.034,-0.074,0.05,0.001,0.001,1057.0,1410.0,1.0
"lag_coefs[-2, glob_eco_act, india_gdp]",0.083,0.056,-0.027,0.181,0.001,0.001,2812.0,1624.0,1.0
"lag_coefs[-2, glob_eco_act, japan_gdp]",-0.023,0.059,-0.138,0.084,0.001,0.001,2134.0,1060.0,1.0
"lag_coefs[-2, usdinr, World_oil_prod]",-0.032,0.094,-0.205,0.144,0.002,0.002,3894.0,1155.0,1.0
"lag_coefs[-2, usdinr, Real_price_oil]",0.036,0.029,-0.017,0.091,0.001,0.0,3173.0,1553.0,1.0
"lag_coefs[-2, usdinr, glob_eco_act]",-0.003,0.097,-0.179,0.185,0.001,0.003,4382.0,976.0,1.0
"lag_coefs[-2, usdinr, usdinr]",0.075,0.084,-0.079,0.23,0.001,0.001,3833.0,1781.0,1.0
"lag_coefs[-2, usdinr, usdyen]",0.025,0.084,-0.139,0.171,0.001,0.002,3645.0,1532.0,1.0
"lag_coefs[-2, usdinr, usdyuan]",-0.015,0.101,-0.221,0.158,0.002,0.003,4438.0,1273.0,1.0
"lag_coefs[-2, usdinr, wui]",-0.007,0.015,-0.035,0.022,0.0,0.0,3281.0,1515.0,1.0
"lag_coefs[-2, usdinr, china_gdp]",-0.07,0.055,-0.171,0.038,0.001,0.001,2140.0,1722.0,1.0
"lag_coefs[-2, usdinr, india_gdp]",-0.045,0.077,-0.177,0.104,0.001,0.001,3592.0,1561.0,1.0
"lag_coefs[-2, usdinr, japan_gdp]",-0.035,0.08,-0.178,0.127,0.001,0.002,3709.0,1489.0,1.0
"lag_coefs[-2, usdyen, World_oil_prod]",-0.03,0.097,-0.211,0.14,0.002,0.002,3691.0,1426.0,1.0
"lag_coefs[-2, usdyen, Real_price_oil]",0.022,0.036,-0.048,0.086,0.001,0.001,2830.0,1402.0,1.0
