,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-4, glob_eco_act, usdyen]",-0.006,0.055,-0.11,0.098,0.001,0.001,2748.0,1515.0,1.0
"lag_coefs[-4, glob_eco_act, wui]",-0.006,0.006,-0.016,0.005,0.0,0.0,3358.0,1474.0,1.0
"lag_coefs[-4, glob_eco_act, japan_gdp]",-0.004,0.056,-0.109,0.106,0.001,0.001,2114.0,1434.0,1.0
"lag_coefs[-4, usdyen, World_oil_prod]",0.005,0.091,-0.171,0.177,0.001,0.002,4884.0,1527.0,1.0
"lag_coefs[-4, usdyen, Real_price_oil]",0.021,0.033,-0.041,0.083,0.001,0.001,3669.0,1302.0,1.0
"lag_coefs[-4, usdyen, glob_eco_act]",0.005,0.098,-0.179,0.18,0.001,0.002,4492.0,1606.0,1.0
"lag_coefs[-4, usdyen, usdyen]",0.031,0.086,-0.119,0.196,0.001,0.002,3483.0,1426.0,1.0
"lag_coefs[-4, usdyen, wui]",0.015,0.018,-0.019,0.049,0.0,0.0,2926.0,1541.0,1.0
"lag_coefs[-4, usdyen, japan_gdp]",-0.06,0.082,-0.21,0.092,0.001,0.001,3644.0,1668.0,1.0
"lag_coefs[-4, wui, World_oil_prod]",-0.002,0.101,-0.182,0.197,0.001,0.003,5720.0,1308.0,1.0
"lag_coefs[-4, wui, Real_price_oil]",0.015,0.089,-0.158,0.182,0.001,0.002,4406.0,1722.0,1.0
"lag_coefs[-4, wui, glob_eco_act]",0.001,0.098,-0.201,0.172,0.002,0.003,3655.0,1315.0,1.0
"lag_coefs[-4, wui, usdyen]",-0.004,0.098,-0.179,0.197,0.001,0.002,5749.0,1329.0,1.0
"lag_coefs[-4, wui, wui]",-0.049,0.081,-0.21,0.095,0.001,0.002,4679.0,1348.0,1.0
"lag_coefs[-4, wui, japan_gdp]",0.003,0.104,-0.203,0.191,0.002,0.003,4820.0,1240.0,1.0
"lag_coefs[-4, japan_gdp, World_oil_prod]",-0.003,0.096,-0.18,0.172,0.001,0.003,4553.0,1320.0,1.0
"lag_coefs[-4, japan_gdp, Real_price_oil]",-0.031,0.041,-0.108,0.045,0.001,0.001,3886.0,1248.0,1.0
"lag_coefs[-4, japan_gdp, glob_eco_act]",-0.009,0.098,-0.19,0.184,0.001,0.003,4550.0,1338.0,1.0
"lag_coefs[-4, japan_gdp, usdyen]",-0.021,0.096,-0.193,0.168,0.002,0.002,3870.0,1441.0,1.0
"lag_coefs[-4, japan_gdp, wui]",-0.014,0.024,-0.06,0.027,0.0,0.0,3096.0,1373.0,1.0
"lag_coefs[-4, japan_gdp, japan_gdp]",0.045,0.085,-0.115,0.204,0.001,0.002,5139.0,1729.0,1.0
noise[World_oil_prod],0.013,0.002,0.011,0.016,0.0,0.0,1698.0,1350.0,1.0
noise[Real_price_oil],0.183,0.019,0.151,0.22,0.0,0.0,3531.0,1555.0,1.0
noise[glob_eco_act],0.011,0.001,0.008,0.014,0.0,0.0,1248.0,1345.0,1.0
noise[usdyen],0.041,0.005,0.033,0.049,0.0,0.0,2272.0,1468.0,1.0
noise[wui],0.323,0.033,0.266,0.385,0.001,0.0,3429.0,1546.0,1.01
noise[japan_gdp],0.05,0.005,0.04,0.06,0.0,0.0,3319.0,1463.0,1.0
