,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-2, Real_price_oil, usdinr]",-0.021,0.099,-0.209,0.163,0.001,0.002,4702.0,1460.0,1.0
"lag_coefs[-2, Real_price_oil, usdyen]",-0.02,0.093,-0.2,0.149,0.002,0.003,3772.0,1178.0,1.0
"lag_coefs[-2, Real_price_oil, usdyuan]",0.003,0.098,-0.168,0.195,0.002,0.002,3992.0,1433.0,1.0
"lag_coefs[-2, Real_price_oil, wui]",-0.027,0.061,-0.14,0.089,0.001,0.001,4046.0,1476.0,1.0
"lag_coefs[-2, glob_eco_act, World_oil_prod]",-0.044,0.075,-0.176,0.1,0.001,0.001,3990.0,1505.0,1.0
"lag_coefs[-2, glob_eco_act, Real_price_oil]",0.004,0.01,-0.016,0.022,0.0,0.0,2868.0,1693.0,1.0
"lag_coefs[-2, glob_eco_act, glob_eco_act]",0.072,0.091,-0.099,0.242,0.001,0.002,4412.0,1470.0,1.0
"lag_coefs[-2, glob_eco_act, usdinr]",-0.012,0.044,-0.093,0.072,0.001,0.001,3578.0,1608.0,1.0
"lag_coefs[-2, glob_eco_act, usdyen]",0.015,0.041,-0.061,0.091,0.001,0.001,2729.0,1739.0,1.0
"lag_coefs[-2, glob_eco_act, usdyuan]",0.094,0.087,-0.087,0.242,0.001,0.001,3878.0,1471.0,1.0
"lag_coefs[-2, glob_eco_act, wui]",-0.0,0.005,-0.01,0.009,0.0,0.0,3222.0,1688.0,1.0
"lag_coefs[-2, usdinr, World_oil_prod]",-0.002,0.093,-0.167,0.179,0.002,0.002,3759.0,1249.0,1.0
"lag_coefs[-2, usdinr, Real_price_oil]",0.028,0.028,-0.024,0.08,0.0,0.0,3133.0,1458.0,1.0
"lag_coefs[-2, usdinr, glob_eco_act]",-0.007,0.097,-0.188,0.184,0.002,0.002,4230.0,1436.0,1.0
"lag_coefs[-2, usdinr, usdinr]",0.073,0.083,-0.074,0.232,0.001,0.001,4687.0,1606.0,1.0
"lag_coefs[-2, usdinr, usdyen]",0.055,0.08,-0.087,0.205,0.001,0.001,3878.0,1492.0,1.0
"lag_coefs[-2, usdinr, usdyuan]",-0.012,0.099,-0.22,0.16,0.002,0.003,4116.0,1302.0,1.0
"lag_coefs[-2, usdinr, wui]",-0.011,0.016,-0.04,0.021,0.0,0.0,3542.0,1596.0,1.0
"lag_coefs[-2, usdyen, World_oil_prod]",-0.031,0.095,-0.212,0.142,0.001,0.002,4009.0,1523.0,1.01
"lag_coefs[-2, usdyen, Real_price_oil]",0.009,0.034,-0.052,0.077,0.001,0.001,3868.0,1716.0,1.0
"lag_coefs[-2, usdyen, glob_eco_act]",0.03,0.101,-0.167,0.213,0.001,0.002,4734.0,1261.0,1.0
"lag_coefs[-2, usdyen, usdinr]",0.004,0.087,-0.148,0.181,0.001,0.002,4368.0,1426.0,1.0
"lag_coefs[-2, usdyen, usdyen]",-0.046,0.084,-0.197,0.119,0.001,0.002,3891.0,1536.0,1.0
"lag_coefs[-2, usdyen, usdyuan]",0.022,0.098,-0.173,0.199,0.001,0.002,5000.0,1432.0,1.0
"lag_coefs[-2, usdyen, wui]",-0.007,0.02,-0.043,0.028,0.0,0.0,3386.0,1566.0,1.0
"lag_coefs[-2, usdyuan, World_oil_prod]",0.038,0.072,-0.096,0.174,0.001,0.001,3244.0,1592.0,1.0
"lag_coefs[-2, usdyuan, Real_price_oil]",-0.01,0.009,-0.028,0.007,0.0,0.0,2439.0,1587.0,1.0
"lag_coefs[-2, usdyuan, glob_eco_act]",0.026,0.088,-0.145,0.187,0.001,0.002,3707.0,1469.0,1.0
"lag_coefs[-2, usdyuan, usdinr]",0.045,0.041,-0.032,0.122,0.001,0.001,3385.0,1273.0,1.0
"lag_coefs[-2, usdyuan, usdyen]",-0.029,0.036,-0.098,0.043,0.001,0.001,2865.0,1666.0,1.0
"lag_coefs[-2, usdyuan, usdyuan]",0.076,0.086,-0.08,0.243,0.001,0.001,4074.0,1330.0,1.0
"lag_coefs[-2, usdyuan, wui]",-0.002,0.005,-0.01,0.007,0.0,0.0,3405.0,1525.0,1.0
"lag_coefs[-2, wui, World_oil_prod]",-0.004,0.101,-0.193,0.184,0.001,0.003,4771.0,1390.0,1.0
"lag_coefs[-2, wui, Real_price_oil]",0.011,0.087,-0.153,0.17,0.001,0.002,5230.0,1501.0,1.0
"lag_coefs[-2, wui, glob_eco_act]",0.002,0.1,-0.194,0.167,0.001,0.002,4403.0,1325.0,1.0
"lag_coefs[-2, wui, usdinr]",0.01,0.102,-0.176,0.201,0.001,0.003,4705.0,1433.0,1.0
"lag_coefs[-2, wui, usdyen]",-0.002,0.097,-0.195,0.169,0.002,0.003,4072.0,1354.0,1.0
"lag_coefs[-2, wui, usdyuan]",0.001,0.1,-0.181,0.198,0.002,0.003,3843.0,1147.0,1.0
"lag_coefs[-2, wui, wui]",-0.045,0.084,-0.202,0.106,0.001,0.002,4034.0,1366.0,1.0
"lag_coefs[-3, World_oil_prod, World_oil_prod]",0.045,0.083,-0.11,0.197,0.001,0.002,4802.0,1450.0,1.0
"lag_coefs[-3, World_oil_prod, Real_price_oil]",0.003,0.014,-0.019,0.031,0.0,0.0,3345.0,1522.0,1.0
"lag_coefs[-3, World_oil_prod, glob_eco_act]",-0.001,0.091,-0.153,0.188,0.001,0.002,4406.0,1305.0,1.0
"lag_coefs[-3, World_oil_prod, usdinr]",-0.004,0.056,-0.107,0.104,0.001,0.001,3902.0,1606.0,1.0
"lag_coefs[-3, World_oil_prod, usdyen]",-0.002,0.049,-0.094,0.09,0.001,0.001,2885.0,1800.0,1.0
"lag_coefs[-3, World_oil_prod, usdyuan]",0.019,0.091,-0.158,0.183,0.002,0.003,3612.0,1269.0,1.0
"lag_coefs[-3, World_oil_prod, wui]",-0.004,0.007,-0.018,0.01,0.0,0.0,3292.0,1249.0,1.0
"lag_coefs[-3, Real_price_oil, World_oil_prod]",-0.004,0.1,-0.191,0.172,0.001,0.002,5060.0,1522.0,1.0
"lag_coefs[-3, Real_price_oil, Real_price_oil]",-0.045,0.081,-0.191,0.106,0.001,0.002,5262.0,1254.0,1.0
"lag_coefs[-3, Real_price_oil, glob_eco_act]",-0.003,0.097,-0.178,0.186,0.001,0.003,4282.0,1308.0,1.0
"lag_coefs[-3, Real_price_oil, usdinr]",0.002,0.098,-0.166,0.19,0.001,0.003,4993.0,1103.0,1.0
"lag_coefs[-3, Real_price_oil, usdyen]",0.001,0.098,-0.184,0.177,0.001,0.003,4613.0,1196.0,1.0
"lag_coefs[-3, Real_price_oil, usdyuan]",0.006,0.1,-0.177,0.188,0.002,0.003,3288.0,1297.0,1.0
"lag_coefs[-3, Real_price_oil, wui]",0.007,0.061,-0.102,0.123,0.001,0.001,4450.0,1547.0,1.0
"lag_coefs[-3, glob_eco_act, World_oil_prod]",-0.002,0.072,-0.133,0.131,0.001,0.002,3979.0,1494.0,1.0
"lag_coefs[-3, glob_eco_act, Real_price_oil]",0.002,0.01,-0.016,0.022,0.0,0.0,3319.0,1577.0,1.0
"lag_coefs[-3, glob_eco_act, glob_eco_act]",0.013,0.086,-0.148,0.169,0.001,0.002,3482.0,1557.0,1.0
"lag_coefs[-3, glob_eco_act, usdinr]",0.066,0.046,-0.016,0.157,0.001,0.001,3856.0,1656.0,1.0
"lag_coefs[-3, glob_eco_act, usdyen]",0.071,0.042,-0.009,0.152,0.001,0.001,2749.0,1789.0,1.0
"lag_coefs[-3, glob_eco_act, usdyuan]",0.093,0.088,-0.06,0.268,0.001,0.001,3688.0,1582.0,1.0
