,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-2, wui, wui]",-0.042,0.079,-0.19,0.104,0.002,0.002,2227.0,1521.0,1.0
"lag_coefs[-2, wui, china_gdp]",-0.015,0.096,-0.193,0.165,0.002,0.002,2408.0,1665.0,1.0
"lag_coefs[-2, china_gdp, World_oil_prod]",0.01,0.098,-0.172,0.198,0.002,0.002,1930.0,1467.0,1.0
"lag_coefs[-2, china_gdp, Real_price_oil]",0.023,0.023,-0.02,0.068,0.001,0.0,1815.0,1231.0,1.0
"lag_coefs[-2, china_gdp, glob_eco_act]",0.036,0.098,-0.141,0.22,0.002,0.002,2280.0,1412.0,1.0
"lag_coefs[-2, china_gdp, usdyuan]",-0.008,0.1,-0.194,0.178,0.002,0.002,2582.0,1455.0,1.0
"lag_coefs[-2, china_gdp, wui]",-0.008,0.013,-0.033,0.015,0.0,0.0,2016.0,1353.0,1.0
"lag_coefs[-2, china_gdp, china_gdp]",-0.114,0.049,-0.203,-0.024,0.002,0.001,999.0,1141.0,1.0
"lag_coefs[-3, World_oil_prod, World_oil_prod]",0.063,0.08,-0.082,0.214,0.002,0.001,2280.0,1583.0,1.0
"lag_coefs[-3, World_oil_prod, Real_price_oil]",-0.005,0.013,-0.029,0.018,0.0,0.0,1489.0,1604.0,1.0
"lag_coefs[-3, World_oil_prod, glob_eco_act]",0.016,0.088,-0.148,0.183,0.002,0.002,2353.0,1433.0,1.0
"lag_coefs[-3, World_oil_prod, usdyuan]",0.02,0.091,-0.164,0.177,0.002,0.002,2393.0,1471.0,1.0
"lag_coefs[-3, World_oil_prod, wui]",-0.005,0.006,-0.016,0.007,0.0,0.0,1995.0,1563.0,1.0
"lag_coefs[-3, World_oil_prod, china_gdp]",0.01,0.035,-0.056,0.079,0.002,0.001,487.0,655.0,1.01
"lag_coefs[-3, Real_price_oil, World_oil_prod]",-0.003,0.103,-0.19,0.196,0.002,0.002,2600.0,1334.0,1.0
"lag_coefs[-3, Real_price_oil, Real_price_oil]",-0.046,0.083,-0.205,0.104,0.001,0.002,3285.0,1440.0,1.0
"lag_coefs[-3, Real_price_oil, glob_eco_act]",-0.002,0.098,-0.179,0.182,0.002,0.002,2239.0,1329.0,1.0
"lag_coefs[-3, Real_price_oil, usdyuan]",0.005,0.1,-0.19,0.189,0.002,0.003,2973.0,1565.0,1.0
"lag_coefs[-3, Real_price_oil, wui]",0.009,0.062,-0.108,0.128,0.002,0.001,1723.0,1134.0,1.0
"lag_coefs[-3, Real_price_oil, china_gdp]",0.055,0.088,-0.12,0.212,0.002,0.002,2319.0,1348.0,1.0
